AGE_REF,FAM_SIZE,REF_RACE,REGION,SEX_REF,FOODTOT,FOODHOME,CEREAL,BAKEPROD,BEEF,PORK,OTHMEAT,POULTRY,SEAFOOD,EGGS,MILKPROD,OTHDAIRY,FRSHFRUT,FRSHVEG,PROCFRUT,PROCVEG,SWEETS,NONALBEV,OILS,MISCFOOD,FOODAWAY,ALCBEV
44,3,1,1,1,221.57999,177.67999,8.97,3.68,18.95,11.99,7.48,15.89,0,1.99,7.8,2.99,6.95998,7.0106,4.45324,15.95617,2.99,50.59,4,5.98,43.9,0
44,3,1,1,1,129.87,113.88,10.98,4.68,9.99,0,2,4.99,2.99,1,10.94,0,0,4.99,3.78392,4.69608,1.99,40.09,6.98,3.78,15.99,0
49,2,2,3,1,11.42,4.28,0,2.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04,7.14,1.93
49,2,2,3,1,103.18,82.25,9.17,5.69,0,2.23,0,10.11,0,0,2.48,14.02,0,5.93,4.08,4.22,6.6,0,6.52,11.2,20.93,0
56,6,4,2,1,92.76689,92.76689,3.72417,12.69934,7.75913,0,5.14016,5.49896,0,0,3.05081,3.34225,13.68161,7.07066,6.99541,5.54299,3.66618,0,0,14.59522,0,7.23311
34,4,5,1,2,325.89,300.99,10.99,8.7,55.15,21.06,1.98,36.57,0,3.19,15.98,18.97,27.72,21.81,11.28,13.13,17.59,2.71,4.49,29.67,24.9,0
34,4,5,1,2,116.2,17,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,3,99.2,0
46,4,5,1,2,16.99,16.99,0,0,0,0,0,16.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,4,5,1,2,37.52,37.52,0,3.15,0,0,0,6.38,0,0,0,0,0,0,0,0,0,0,0,27.99,0,0
55,8,1,,1,203.35,203.35,14.97,6.46,33.49,25.69,3.56,13.5,0,0,3.19,15.45,13.07,1.06,3.48,7.14,0,24.32,4.06,33.91,0,0
55,8,1,,1,151.55,151.55,4.14,22.21,23.16,0,5.64,13.05,0,2.48,8.36,1.49,4.1,20.07,2.79,0,2.98,25.23,3.53,12.32,0,0
24,3,1,1,2,101.03499,60.03,9.19,7.46,4.25,0,0,0,0,1.59,7.52,7.11,0,0,3.27184,1.26816,0,7.22,0,11.15,41.00499,0
25,1,1,3,1,84.87,58.05,3.29,13.54,0,0,5.34,0,5.41,0,3.57,0,0,0,0,0,3.51,5.2,2.74,15.45,26.82,7.19
25,1,1,3,1,84.61,25.17,2.14,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,14.24,0,4.49,59.44,9.75
80,1,1,3,2,20.26,20.26,0,0,0,0,0,0,0,0,0,3.35,0,0,1.29,0,3.24,3.24,0,9.14,0,0
80,1,1,3,2,43.67,43.67,3.24,4,0,0,0,0,1.73,0,2.48,3.24,0,0.62,1.29,0,0,14.95,0,12.12,0,0
82,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,3,1,4,2,122.52,62.03,13.9,9.99,8.79,0,0,0,0,1.19,6.17,0,0,0,1.55283,1.92717,3.66,5.34,9.51,0,60.49,0
32,3,1,4,2,130.24,39.64,4.26,6.48,0,0,0,8.4,0,0,12.85,0,0,0,0,0,2.12,1.27,3.19,1.07,90.6,9
45,2,1,1,1,53.5,21.5,0,2,0,8,0,0,0,0,3.5,5,0,0,0,0,0,0,0,3,32,0
45,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,1,1,1,533.95,393.31,3,13.26,29.76,0,8.16,29.93,21.94,0,0,20.3,4.33,0,26.38,2.99,0,68.38,13.5,151.38,140.64,68.28
49,1,1,1,1,273.6208,132.24,0,4.95,8.95,0,0,15.9,41.95,0,0,5.49,12.95,0,9.9,0,0,16.95,0,15.2,141.3808,44.43
54,5,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,5,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
